,state,participation_2017,english_2017,math_2017,total_2017,participation_2018,english_2018,math_2018,total_2018,participation_2019,english_2019,math_2019,total_2019,cost_index_2019,housing_cost_2019,cost_index_2020,housing_cost_2020,cost_index_2021,housing_cost_2021
0,Alabama,5.0,593.0,572.0,1165.0,6.0,595.0,571.0,1166.0,7.0,583.0,560.0,1143.0,89.2,69.9,89.3,71.5,87.9,70.1
1,Alaska,38.0,547.0,533.0,1080.0,43.0,562.0,544.0,1106.0,41.0,556.0,541.0,1097.0,128.3,134.6,129.9,133.9,127.1,126.9
2,Arizona,30.0,563.0,553.0,1116.0,29.0,577.0,572.0,1149.0,31.0,569.0,565.0,1134.0,99.6,99.4,97.0,91.7,103.2,107.7
3,Arkansas,3.0,614.0,594.0,1208.0,5.0,592.0,576.0,1169.0,6.0,582.0,559.0,1141.0,87.1,73.9,86.9,73.9,90.9,79.1
4,California,53.0,531.0,524.0,1055.0,60.0,540.0,536.0,1076.0,63.0,534.0,531.0,1065.0,137.7,194.8,151.7,227.3,142.2,201.9
5,Colorado,11.0,606.0,595.0,1201.0,100.0,519.0,506.0,1025.0,100.0,518.0,506.0,1024.0,104.8,119.4,105.6,119.0,105.3,116.4
6,Connecticut,100.0,530.0,512.0,1041.0,100.0,535.0,519.0,1053.0,100.0,529.0,516.0,1046.0,126.5,144.3,127.7,144.7,121.6,134.6
7,Delaware,100.0,503.0,492.0,996.0,100.0,505.0,492.0,998.0,100.0,499.0,486.0,985.0,107.9,97.8,108.1,98.2,107.9,103.1
8,District of Columbia,100.0,482.0,468.0,950.0,92.0,497.0,480.0,977.0,94.0,495.0,480.0,975.0,159.0,274.0,158.4,267.0,158.1,256.9
9,Florida,83.0,520.0,497.0,1017.0,56.0,550.0,549.0,1099.0,100.0,516.0,483.0,999.0,98.2,95.9,97.9,95.4,100.3,99.0
10,Georgia,61.0,535.0,515.0,1050.0,70.0,542.0,522.0,1064.0,71.0,538.0,519.0,1058.0,89.2,72.2,89.2,73.8,88.8,74.4
11,Hawaii,55.0,544.0,541.0,1085.0,56.0,480.0,530.0,1010.0,54.0,550.0,550.0,1100.0,191.8,328.9,192.9,318.6,193.3,315.0
12,Idaho,93.0,513.0,493.0,1005.0,100.0,508.0,493.0,1001.0,100.0,505.0,488.0,993.0,93.3,88.6,92.3,87.1,102.1,110.4
13,Illinois,9.0,559.0,556.0,1115.0,99.0,513.0,506.0,1019.0,100.0,509.0,504.0,1013.0,94.9,85.7,94.5,87.2,94.3,86.6
14,Indiana,63.0,542.0,532.0,1074.0,63.0,542.0,532.0,1074.0,66.0,543.0,537.0,1080.0,90.9,77.3,90.0,77.3,90.6,78.3
15,Iowa,2.0,641.0,635.0,1275.0,3.0,634.0,631.0,1265.0,3.0,622.0,622.0,1244.0,91.9,78.5,90.1,79.6,89.9,76.0
16,Kansas,4.0,632.0,628.0,1260.0,4.0,633.0,631.0,1265.0,4.0,618.0,623.0,1241.0,88.5,72.5,89.0,73.8,86.5,72.6
17,Kentucky,4.0,631.0,616.0,1247.0,4.0,630.0,618.0,1248.0,4.0,620.0,612.0,1232.0,93.1,80.9,90.9,77.4,93.1,79.9
18,Louisiana,4.0,611.0,586.0,1198.0,4.0,615.0,595.0,1210.0,5.0,610.0,591.0,1200.0,93.1,85.2,93.9,86.6,93.0,86.0
19,Maine,95.0,513.0,499.0,1012.0,99.0,512.0,501.0,1013.0,99.0,512.0,502.0,1013.0,116.6,127.8,117.5,123.1,115.0,136.6
20,Maryland,69.0,536.0,520.0,1060.0,76.0,545.0,535.0,1080.0,82.0,535.0,523.0,1058.0,127.6,180.9,129.7,184.5,124.0,165.9
21,Massachusetts,76.0,555.0,551.0,1107.0,80.0,562.0,563.0,1125.0,81.0,559.0,561.0,1120.0,130.1,169.8,131.6,170.3,135.0,177.6
